"site","crop","treatment","mean_respiration","sd","plot_no","max(co2_int)","plot","mol_co2","c_g_hr","zscore"
"allstar_mine_2","W","F",3.4449448102634e-06,1.3832176978305e-06,33,695,9,2.74498468639459e-05,4.57497447732432e-06,0.816957206977118
"allstar_mine_2","W","F",3.4449448102634e-06,1.3832176978305e-06,42,289,18,1.14143967534969e-05,1.90239945891616e-06,-1.11518624564061
"allstar_mine_2","W","F",3.4449448102634e-06,1.3832176978305e-06,25,586,1,2.31447629672983e-05,3.85746049454972e-06,0.298229038663491
"jackson_mill","S","B",6.38027915416777e-06,1.01925399919253e-06,133,859,13,3.39272208001864e-05,5.65453680003107e-06,-0.712032873760268
"jackson_mill","S","B",6.38027915416777e-06,1.01925399919253e-06,125,1073,5,4.23794038633295e-05,7.06323397722158e-06,0.670053611361703
"jackson_mill","S","B",6.38027915416777e-06,1.01925399919253e-06,127,1129,7,4.45911900854604e-05,7.4318650142434e-06,1.03172110279549
"jackson_mill","S","B",6.38027915416777e-06,1.01925399919253e-06,144,816,24,3.22288849510502e-05,5.37148082517503e-06,-0.989741840396924
"jackson_mill","S","C",5.42249672762002e-06,2.92997010880476e-06,126,1391,6,5.49391899104299e-05,9.15653165173832e-06,1.27442765129149
"jackson_mill","S","C",5.42249672762002e-06,2.92997010880476e-06,135,923,15,3.64549764826217e-05,6.07582941377029e-06,0.222982713778193
"jackson_mill","S","C",5.42249672762002e-06,2.92997010880476e-06,128,633,8,2.50010835465867e-05,4.16684725776446e-06,-0.428553679125343
"jackson_mill","S","C",5.42249672762002e-06,2.92997010880476e-06,142,348,22,1.3744671523242e-05,2.290778587207e-06,-1.06885668594434
"jackson_mill","S","F",4.90575500608051e-06,7.5400621599535e-07,129,589,9,2.32632515149125e-05,3.87720858581874e-06,-1.36410867502464
"jackson_mill","S","F",4.90575500608051e-06,7.5400621599535e-07,124,859,4,3.39272208001864e-05,5.65453680003107e-06,0.99307111541794
"jackson_mill","S","F",4.90575500608051e-06,7.5400621599535e-07,134,743,14,2.93456636257724e-05,4.89094393762874e-06,-0.0196431649203549
"jackson_mill","S","F",4.90575500608051e-06,7.5400621599535e-07,143,790,23,3.12019842050609e-05,5.20033070084348e-06,0.390680724527058
"jackson_mill","W","B",4.89752663471841e-06,7.48963218109442e-07,132,715,12,2.8239770514707e-05,4.70662841911783e-06,-0.254883298651774
"jackson_mill","W","B",4.89752663471841e-06,7.48963218109442e-07,121,719,1,2.83977552448592e-05,4.73295920747653e-06,-0.219726981596357
"jackson_mill","W","B",4.89752663471841e-06,7.48963218109442e-07,136,637,16,2.51590682767389e-05,4.19317804612316e-06,-0.940431481232411
"jackson_mill","W","B",4.89752663471841e-06,7.48963218109442e-07,140,905,20,3.57440451969368e-05,5.95734086615613e-06,1.41504176148054
"jackson_mill","W","C",4.44661188407566e-06,1.24157298989266e-06,123,760,3,3.00170987289193e-05,5.00284978815322e-06,0.448010635384112
"jackson_mill","W","C",4.44661188407566e-06,1.24157298989266e-06,131,808,11,3.19129154907458e-05,5.31881924845763e-06,0.702501883886331
"jackson_mill","W","C",4.44661188407566e-06,1.24157298989266e-06,138,396,18,1.56404882850685e-05,2.60674804751141e-06,-1.48188133242437
"jackson_mill","W","C",4.44661188407566e-06,1.24157298989266e-06,141,738,21,2.91481827130822e-05,4.85803045218036e-06,0.33136881315393
"jackson_mill","W","F",5.25628362610572e-06,3.78319004173076e-07,139,779,19,3.07675261971423e-05,5.12792103285705e-06,-0.339297238131722
"jackson_mill","W","F",5.25628362610572e-06,3.78319004173076e-07,130,849,10,3.35322589748059e-05,5.58870982913432e-06,0.878692847469333
"jackson_mill","W","F",5.25628362610572e-06,3.78319004173076e-07,137,840,17,3.31767933319634e-05,5.52946555532724e-06,0.72209412217777
"jackson_mill","W","F",5.25628362610572e-06,3.78319004173076e-07,122,726,2,2.86742285226255e-05,4.77903808710426e-06,-1.26148973151538
"lp_mine","S","B",5.40225493406927e-05,3.27774305746248e-05,50,807,2,3.18734193082077e-05,5.31223655136796e-06,-1.48609308098221
"lp_mine","S","B",5.40225493406927e-05,3.27774305746248e-05,69,11315,21,0.000446899305418055,7.44832175696759e-05,0.624230388724344
"lp_mine","S","B",5.40225493406927e-05,3.27774305746248e-05,62,10967,14,0.000433154633894813,7.21924389824688e-05,0.554341488128808
"lp_mine","S","B",5.40225493406927e-05,3.27774305746248e-05,59,9738,11,0.000384613825555548,6.41023042592579e-05,0.307521204129061
"lp_mine","S","C",5.18831727865482e-05,3.38061548605188e-05,67,12653,19,0.000499745197653968,8.32908662756614e-05,0.929052523680927
"lp_mine","S","C",5.18831727865482e-05,3.38061548605188e-05,61,8615,13,0.000340259612565316,5.67099354275526e-05,0.14277762913053
"lp_mine","S","C",5.18831727865482e-05,3.38061548605188e-05,60,9639,12,0.000380703703484281,6.34506172473801e-05,0.342169776733207
"lp_mine","S","C",5.18831727865482e-05,3.38061548605188e-05,49,620,1,2.44876331735921e-05,4.08127219559868e-06,-1.41399992954466
"lp_mine","S","F",4.46060011539122e-05,3.07595601000555e-05,68,5615,20,0.00022177106495116,3.69618441585267e-05,-0.248513209243576
"lp_mine","S","F",4.46060011539122e-05,3.07595601000555e-05,58,10206,10,0.000403098038983356,6.7183006497226e-05,0.733983362241683
"lp_mine","S","F",4.46060011539122e-05,3.07595601000555e-05,51,651,3,2.57120148322717e-05,4.28533580537861e-06,-1.31083361456983
"lp_mine","S","F",4.46060011539122e-05,3.07595601000555e-05,63,10633,15,0.000419962908927104,6.99938181545173e-05,0.825363461571721
"lp_mine","W","B",3.06095414669901e-05,2.4348240664679e-05,70,8628,22,0.00034077306293831,5.67955104897184e-05,1.0754768438245
"lp_mine","W","B",3.06095414669901e-05,2.4348240664679e-05,55,1836,7,7.25149911398629e-05,1.20858318566438e-05,-0.760782262071931
"lp_mine","W","B",3.06095414669901e-05,2.4348240664679e-05,53,1185,5,4.68029763075913e-05,7.80049605126522e-06,-0.936784128670661
"lp_mine","W","B",3.06095414669901e-05,2.4348240664679e-05,65,6951,17,0.000274537964821997,4.57563274703329e-05,0.622089546918093
"lp_mine","W","C",3.13550319123958e-05,2.22412111801843e-05,56,8211,8,0.000324303154819943,5.40505258033238e-05,1.02042526852802
"lp_mine","W","C",3.13550319123958e-05,2.22412111801843e-05,66,2950,18,0.000116513738487253,1.94189564145421e-05,-0.536664815650331
"lp_mine","W","C",3.13550319123958e-05,2.22412111801843e-05,52,968,4,3.82323046968341e-05,6.37205078280568e-06,-1.12327430944267
"lp_mine","W","C",3.13550319123958e-05,2.22412111801843e-05,72,6924,24,0.00027347156789347,4.55785946489117e-05,0.639513856564981
"lp_mine","W","F",2.67718290637094e-05,2.74948916455052e-05,64,3510,16,0.000138631600708562,2.31052667847603e-05,-0.133354309092123
"lp_mine","W","F",2.67718290637094e-05,2.74948916455052e-05,71,1949,23,7.69780597666628e-05,1.28296766277771e-05,-0.507081555937373
"lp_mine","W","F",2.67718290637094e-05,2.74948916455052e-05,57,10093,9,0.000398634970356556,6.64391617260927e-05,1.44271645707205
"lp_mine","W","F",2.67718290637094e-05,2.74948916455052e-05,54,716,6,2.8279266697245e-05,4.7132111162075e-06,-0.802280592042558
"reedsville","S","B",3.26830910502378e-06,1.23092328656401e-07,118,514,22,2.03010378245586e-05,3.3835063040931e-06,0.935860100517544
"reedsville","S","B",3.26830910502378e-06,1.23092328656401e-07,114,471,18,1.86027019754224e-05,3.10045032923706e-06,-1.36368186075413
"reedsville","S","B",3.26830910502378e-06,1.23092328656401e-07,99,495,3,1.95506103563356e-05,3.25843505938927e-06,-0.0802165800443587
"reedsville","S","B",3.26830910502378e-06,1.23092328656401e-07,103,506,7,1.99850683642542e-05,3.3308447273757e-06,0.508038340280955
"reedsville","S","C",4.43673783844114e-06,2.04785015668586e-06,120,1103,24,4.3564289339471e-05,7.26071488991184e-06,1.37899593984009
"reedsville","S","C",4.43673783844114e-06,2.04785015668586e-06,97,479,1,1.89186714357268e-05,3.15311190595446e-06,-0.626816336290951
"reedsville","S","C",4.43673783844114e-06,2.04785015668586e-06,112,700,16,2.76473277766362e-05,4.6078879627727e-06,0.0835755115054602
"reedsville","S","C",4.43673783844114e-06,2.04785015668586e-06,105,414,9,1.63514195707534e-05,2.72523659512557e-06,-0.835755115054602
"reedsville","S","F",4.02696494460886e-06,5.98153738894971e-07,104,668,8,2.63834499354185e-05,4.39724165590309e-06,0.619032678752929
"reedsville","S","F",4.02696494460886e-06,5.98153738894971e-07,119,689,23,2.72128697687176e-05,4.53547829478627e-06,0.850138212154024
"reedsville","S","F",4.02696494460886e-06,5.98153738894971e-07,98,487,2,1.92346408960312e-05,3.20577348267186e-06,-1.3728769186565
"reedsville","S","F",4.02696494460886e-06,5.98153738894971e-07,113,603,17,2.38161980704452e-05,3.9693663450742e-06,-0.0962939722504559
"reedsville","W","B",3.16134027731656e-06,1.60832030941483e-06,101,438,5,1.72993279516667e-05,2.88322132527778e-06,-0.172925101057743
"reedsville","W","B",3.16134027731656e-06,1.60832030941483e-06,106,806,10,3.18339231256697e-05,5.30565385427828e-06,1.3332627614097
"reedsville","W","B",3.16134027731656e-06,1.60832030941483e-06,117,463,21,1.82867325151179e-05,3.04778875251966e-06,-0.0706025560531617
"reedsville","W","B",3.16134027731656e-06,1.60832030941483e-06,110,214,14,8.45218306314307e-06,1.40869717719051e-06,-1.0897351042988
"reedsville","W","C",2.81410300583618e-06,9.37651228764715e-07,116,489,20,1.93136332611073e-05,3.21893887685121e-06,0.43175528234349
"reedsville","W","C",2.81410300583618e-06,9.37651228764715e-07,111,216,15,8.53117542821917e-06,1.42186257136986e-06,-1.48481694659591
"reedsville","W","C",2.81410300583618e-06,9.37651228764715e-07,108,526,12,2.07749920150152e-05,3.4624986691692e-06,0.691510492859086
"reedsville","W","C",2.81410300583618e-06,9.37651228764715e-07,102,479,6,1.89186714357268e-05,3.15311190595446e-06,0.361551171393329
"reedsville","W","F",2.89638671945713e-06,8.50620998136571e-07,107,585,11,2.31052667847603e-05,3.85087779746004e-06,1.12211088145471
"reedsville","W","F",2.89638671945713e-06,8.50620998136571e-07,115,389,19,1.53640150073021e-05,2.56066916788369e-06,-0.394673482442692
"reedsville","W","F",2.89638671945713e-06,8.50620998136571e-07,109,288,13,1.13749005709589e-05,1.89581676182648e-06,-1.17628175159391
"reedsville","W","F",2.89638671945713e-06,8.50620998136571e-07,100,498,4,1.96690989039498e-05,3.27818315065829e-06,0.448844352581885
