"site","plot","crop","treatment","poxc","date"
"allstar_mine_1","8","W","C",1235.46290333333,2022-08-29
"allstar_mine_1","9","W","C",907.246558233333,2022-08-29
"allstar_mine_2","1","W","C",1272.58398533333,2022-08-29
"allstar_mine_2","10","S","B",1230.54817133333,2022-08-29
"allstar_mine_2","11","S","C",881.179188333333,2022-08-29
"allstar_mine_2","12","S","C",930.975973266667,2022-08-29
"allstar_mine_2","13","S","C",1205.14322233333,2022-08-29
"allstar_mine_2","14","S","C",650.875821866667,2022-08-29
"allstar_mine_2","15","S","B",876.866395966667,2022-08-29
"allstar_mine_2","16","W","B",528.5484968,2022-08-29
"allstar_mine_2","17","W","C",618.6934661,2022-08-29
"allstar_mine_2","18","W","C",684.569806433333,2022-08-29
"allstar_mine_2","2","W","B",775.352633166667,2022-08-29
"allstar_mine_2","3","W","C",1118.23443433333,2022-08-29
"allstar_mine_2","4","S","B",680.508700166667,2022-08-29
"allstar_mine_2","5","S","C",1104.98900866667,2022-08-29
"allstar_mine_2","6","S","C",854.2890575,2022-08-29
"allstar_mine_2","7","W","C",882.6591909,2022-08-29
"allstar_mine_2","8","W","B",1016.6968264,2022-08-29
"allstar_mine_2","9","W","C",1057.82139666667,2022-08-29
"goshen","1","S","C",828.276870733333,2022-08-29
"goshen","10","S","C",1285.74053133333,2022-08-29
"goshen","11","S","B",590.206880633333,2022-08-29
"goshen","12","S","C",993.714309133333,2022-08-29
"goshen","13","S","C",1355.037714,2022-08-29
"goshen","14","S","B",1110.02571566667,2022-08-29
"goshen","15","S","C",329.3301899,2022-08-29
"goshen","16","W","C",1120.38497066667,2022-08-29
"goshen","17","W","B",786.250239633333,2022-08-29
"goshen","18","W","C",952.975340633333,2022-08-29
"goshen","19","S","C",1392.33395166667,2022-08-29
"goshen","2","S","B",790.6947188,2022-08-29
"goshen","20","S","C",675.943823233333,2022-08-29
"goshen","21","S","B",609.134809533333,2022-08-29
"goshen","22","W","B",1056.92964366667,2022-08-29
"goshen","23","W","C",921.4501046,2022-08-29
"goshen","24","W","C",1150.342554,2022-08-29
"goshen","3","S","C",503.878354933333,2022-08-29
"goshen","4","W","C",731.591587566667,2022-08-29
"goshen","5","W","B",389.9789829,2022-08-29
"goshen","6","W","C",643.250343066667,2022-08-29
"goshen","7","W","B",999.160606033333,2022-08-29
"goshen","8","W","C",744.8510732,2022-08-29
"goshen","9","W","C",1196.91611033333,2022-08-29
"jackson_mill","1","W","B",707.161780633333,2022-08-29
"jackson_mill","10","W","C",969.3641073,2022-08-29
"jackson_mill","11","W","C",745.5928528,2022-08-29
"jackson_mill","12","W","B",864.386056433333,2022-08-29
"jackson_mill","13","S","B",759.318474066667,2022-08-29
"jackson_mill","14","S","C",867.876896633333,2022-08-29
"jackson_mill","15","S","C",875.2334611,2022-08-29
"jackson_mill","16","W","B",728.3094488,2022-08-29
"jackson_mill","17","W","C",508.831720433333,2022-08-29
"jackson_mill","18","W","C",623.212386866667,2022-08-29
"jackson_mill","19","W","C",572.7839838,2022-08-29
"jackson_mill","2","W","C",1145.49254966667,2022-08-29
"jackson_mill","20","W","B",796.854302266667,2022-08-29
"jackson_mill","21","W","C",1364.331897,2022-08-29
"jackson_mill","22","S","C",848.9931075,2022-08-29
"jackson_mill","23","S","C",696.788447833333,2022-08-29
"jackson_mill","24","S","B",1053.375238,2022-08-29
"jackson_mill","3","W","C",781.539890466667,2022-08-29
"jackson_mill","4","S","C",1083.61713833333,2022-08-29
"jackson_mill","5","S","B",926.230791066667,2022-08-29
"jackson_mill","6","S","C",695.6692982,2022-08-29
"jackson_mill","7","S","B",600.122257933333,2022-08-29
"jackson_mill","8","S","C",927.949370066667,2022-08-29
"jackson_mill","9","S","C",1039.44146563333,2022-08-29
"reedsville","1","S","C",1034.11697403333,2022-08-29
"reedsville","10","W","B",814.901019333333,2022-08-29
"reedsville","11","W","C",891.646179666667,2022-08-29
"reedsville","12","W","C",1025.71737016667,2022-08-29
"reedsville","13","W","C",884.7553639,2022-08-29
"reedsville","14","W","B",885.033365833333,2022-08-29
"reedsville","15","W","C",868.087625666667,2022-08-29
"reedsville","16","S","C",680.6754922,2022-08-29
"reedsville","17","S","C",748.825163866667,2022-08-29
"reedsville","18","S","B",941.329064766667,2022-08-29
"reedsville","19","W","C",740.876452733333,2022-08-29
"reedsville","2","S","C",857.114630566667,2022-08-29
"reedsville","20","W","C",954.5560861,2022-08-29
"reedsville","21","W","B",674.9905653,2022-08-29
"reedsville","22","S","B",1022.9179134,2022-08-29
"reedsville","23","S","C",650.8753159,2022-08-29
"reedsville","24","S","C",1080.12321966667,2022-08-29
"reedsville","3","S","B",911.0449454,2022-08-29
"reedsville","4","W","C",897.2970685,2022-08-29
"reedsville","5","W","B",913.5606563,2022-08-29
"reedsville","6","W","C",735.1632597,2022-08-29
"reedsville","7","S","B",925.831109033333,2022-08-29
"reedsville","8","S","C",630.2496775,2022-08-29
"reedsville","9","S","C",774.250774533333,2022-08-29
