"site","plot","crop","treatment","poxc","mean","two.sd","z.score","date"
"goshen","13","S","C",1246.979,915.832766666667,497.203734278882,1.33203437747148,2022-05-17
"goshen","14","S","B",916.0337,783.56055,442.47309231509,0.598785111686132,2022-05-17
"goshen","15","S","F",1085.54466666667,1003.56061666667,116.303108474359,1.40983420091605,2022-05-17
"goshen","16","W","F",697.664533333333,857.00985,461.721434058629,0.690222740001423,2022-05-17
"goshen","17","W","B",700.233966666667,873.205875,456.139423800004,0.758416831820148,2022-05-17
"goshen","18","W","C",875.4481,917.089775,445.838783988474,0.186801491909132,2022-05-17
"goshen","19","S","C",657.710133333333,915.832766666667,497.203734278882,1.03829724331295,2022-05-17
"goshen","2","S","B",960.619633333333,783.56055,442.47309231509,0.800315709174231,2022-05-17
"goshen","20","S","F",971.9492,1003.56061666667,116.303108474359,0.543603985849371,2022-05-17
"goshen","21","S","B",786.959966666667,783.56055,442.47309231509,0.0153655294557251,2022-05-17
"goshen","22","W","B",1201.90333333333,873.205875,456.139423800004,1.44121486187281,2022-05-17
"goshen","23","W","F",679.494033333333,857.00985,461.721434058629,0.768930370445509,2022-05-17
"goshen","24","W","C",669.870833333333,917.089775,445.838783988474,1.10900599295129,2022-05-17
"goshen","3","S","F",1002.41013333333,1003.56061666667,116.303108474359,0.0197842232838856,2022-05-17
"goshen","4","W","C",912.342833333333,917.089775,445.838783988474,0.0212944312479974,2022-05-17
"goshen","5","W","B",849.9364,873.205875,456.139423800004,0.102027905442361,2022-05-17
"goshen","6","W","F",1177.50866666667,857.00985,461.721434058629,1.38827783605112,2022-05-17
"goshen","7","W","B",740.7498,873.205875,456.139423800004,0.580770124610303,2022-05-17
"goshen","8","W","C",1210.69733333333,917.089775,445.838783988474,1.31710191610842,2022-05-17
"goshen","9","W","F",873.372166666667,857.00985,461.721434058629,0.0708752743958122,2022-05-17
"jackson_mill","1","W","B",500.4451,751.353375,480.033950739482,1.04537720556424,2022-05-17
"jackson_mill","10","W","F",721.975033333333,759.7752,94.064753661885,0.8037052178447,2022-05-17
"jackson_mill","11","W","C",591.4428,765.023958333333,335.690183555953,1.03417476492518,2022-05-17
"jackson_mill","12","W","B",739.3537,751.353375,480.033950739482,0.0499951096438691,2022-05-17
"jackson_mill","13","S","B",847.452666666667,857.7335385,84.4351726713933,0.243521070853841,2022-05-17
"jackson_mill","14","S","F",1020.71066666667,724.122916666667,727.409332216246,0.815463142592264,2022-05-17
"jackson_mill","15","S","C",575.172,954.5659,693.989877611732,1.0933701261051,2022-05-17
"jackson_mill","16","W","B",1076.66966666667,751.353375,480.033950739482,1.3553886810111,2022-05-17
"jackson_mill","17","W","F",744.9054,759.7752,94.064753661885,0.31616093002166,2022-05-17
"jackson_mill","18","W","C",986.822966666667,765.023958333333,335.690183555953,1.32145066611019,2022-05-17
"jackson_mill","19","W","F",812.445166666667,759.7752,94.064753661885,1.11986614786636,2022-05-17
"jackson_mill","20","W","B",688.945033333333,751.353375,480.033950739482,0.260016365802994,2022-05-17
"jackson_mill","21","W","C",785.7939,765.023958333333,335.690183555953,0.123744706780827,2022-05-17
"jackson_mill","22","S","C",932.507366666667,954.5659,693.989877611732,0.0635701875342755,2022-05-17
"jackson_mill","23","S","F",405.740633333333,724.122916666667,727.409332216246,0.875386853680574,2022-05-17
"jackson_mill","24","S","B",805.005654,857.7335385,84.4351726713933,1.24895544905694,2022-05-17
"jackson_mill","3","W","C",696.036166666667,765.023958333333,335.690183555953,0.411020607965844,2022-05-17
"jackson_mill","4","S","F",1056.94733333333,724.122916666667,727.409332216246,0.915095261845565,2022-05-17
"jackson_mill","5","S","B",904.6651,857.7335385,84.4351726713933,1.11165904006969,2022-05-17
"jackson_mill","6","S","C",894.324566666667,954.5659,693.989877611732,0.173608680116907,2022-05-17
"jackson_mill","7","S","B",873.810733333333,857.7335385,84.4351726713933,0.380817479841083,2022-05-17
"jackson_mill","8","S","C",1416.25966666667,954.5659,693.989877611732,1.33054899375628,2022-05-17
"jackson_mill","9","S","F",413.093033333333,724.122916666667,727.409332216246,0.855171550757256,2022-05-17
"reedsville","1","S","C",754.576866666667,873.124691666667,192.909135032555,1.22905351247357,2022-05-17
"reedsville","10","W","B",899.101033333333,698.687483333333,396.109615505662,1.0119095429893,2022-05-17
"reedsville","11","W","F",1010.2571,760.8864305,601.572102140156,0.829063278077018,2022-05-17
"reedsville","12","W","C",565.738433333333,732.99835,283.178400615921,1.18130419765682,2022-05-17
"reedsville","13","W","F",830.522055333333,760.8864305,601.572102140156,0.231512148205003,2022-05-17
"reedsville","14","W","B",777.539766666667,698.687483333333,396.109615505662,0.398133649104543,2022-05-17
"reedsville","15","W","C",802.986,732.99835,283.178400615921,0.494300764802505,2022-05-17
"reedsville","16","S","C",846.644366666667,873.124691666667,192.909135032555,0.274536765669819,2022-05-17
"reedsville","17","S","F",339.512833333333,654.738458333333,608.692942987538,1.03574594919019,2022-05-17
"reedsville","18","S","B",566.495433333333,656.722158333333,467.654451921173,0.38586920162671,2022-05-17
"reedsville","19","W","F",324.345933333333,760.8864305,601.572102140156,1.45133225298722,2022-05-17
"reedsville","2","S","F",738.813033333333,654.738458333333,608.692942987538,0.276246261661428,2022-05-17
"reedsville","20","W","C",887.788633333333,732.99835,283.178400615921,1.09323509841612,2022-05-17
"reedsville","21","W","B",431.9736,698.687483333333,396.109615505662,1.34666704817481,2022-05-17
"reedsville","22","S","B",376.1502,656.722158333333,467.654451921173,1.19991141827353,2022-05-17
"reedsville","23","S","F",501.3073,654.738458333333,608.692942987538,0.504133192608656,2022-05-17
"reedsville","24","S","C",981.9642,873.124691666667,192.909135032555,1.12840180756568,2022-05-17
"reedsville","3","S","B",906.999066666667,656.722158333333,467.654451921173,1.07034973068328,2022-05-17
"reedsville","4","W","F",878.420633333333,760.8864305,601.572102140156,0.390756826705205,2022-05-17
"reedsville","5","W","B",686.135533333333,698.687483333333,396.109615505662,0.0633761439190341,2022-05-17
"reedsville","6","W","C",675.480333333333,732.99835,283.178400615921,0.406231665561804,2022-05-17
"reedsville","7","S","B",777.243933333333,656.722158333333,467.654451921173,0.515430889216959,2022-05-17
"reedsville","8","S","F",1039.32066666667,654.738458333333,608.692942987538,1.26363288013742,2022-05-17
"reedsville","9","S","C",909.313333333333,873.124691666667,192.909135032555,0.375188470577711,2022-05-17
